waste_material,need_material,compatibility_score,tier,symbiosis_pathway,taiwan_case_evidence,source,notes
metal_offcut,construction,75.0,HIGH,Scrap metal rebar and structural sections reused in construction,Steel offcut from Kaohsiung fabrication shops sold directly to construction companies as secondary rebar,Taiwan Construction Research Institute + Steel Recyclers Association 2022,Secondary rebar must meet CNS 560 standard. Well-established market channel in Taiwan.
metal_offcut,hardware,75.0,HIGH,Small metal offcuts sold to hardware parts manufacturers for fasteners and brackets,Metal stamping offcuts from electronics/auto sector reused by hardware SMEs in central Taiwan,Taiwan SME Hardware Cluster (Taichung) 2021,Offcut geometry and alloy must match hardware spec. Active spot-market for metal drops in Taichung.
plastic_offcut,construction,72.0,HIGH,Recycled plastic formed into construction composite boards and panels,Taiwan plastic recyclers convert mixed PP/PE offcuts into wood-plastic composite decking boards,Taiwan Plastic Recycling Association 2022,Requires sorting and cleaning. Output meets CNS 14643 wood-plastic composite standard.
organic_sludge,organic_sludge,60.0,MEDIUM,Blending of compatible sludge streams for co-digestion or joint composting,Paper mill and food sludge co-digestion tested at Taichung facility — higher biogas yield from blended feed,National Cheng Kung University IS Research Group 2021,Blending requires compatibility check on heavy metal content and C:N ratio. Suitable pairs well documented.
chemical_solvent,plastic_offcut,55.0,MEDIUM,Solvent used as cleaning or pre-treatment agent in plastic recycling process,Spent toluene/MEK from electronics sector used to clean plastic offcut before resin recovery,Taiwan EPA Industrial Waste Exchange Pilot 2020,Solvent-assisted plastic cleaning improves recycled resin purity. Requires controlled application and VOC capture.
water,textile_dyeing,65.0,MEDIUM,Treated grey water reused in textile pre-wash and rinsing baths,Tainan textile cluster — biologically treated rinse water from one factory fed to pre-wash stage of neighbour,Taiwan Textile Federation Water Reduction Programme 2022,Water quality must meet Taiwan EPA effluent standard for dyeing reuse. pH 6-9 required.
organic_sludge,water,50.0,MEDIUM,Sludge dewatering liquid (centrate) treated and recovered as process water,Paper mill centrate treated by MBR to reclaim water for non-contact cooling use,Taiwan Paper Industry Association + NCKU 2021,Centrate is nitrogen-rich; requires biological nitrogen removal before reuse. Limited to non-potable applications.
metal_offcut,heat_energy,45.0,MEDIUM,Metal chips used as supplemental fuel in rotary kiln or incineration with energy recovery,Metal-contaminated chips with oil residue incinerated with energy recovery in cement kiln,Taiwan Cement Industry + MOENV Co-processing Guidelines 2022,Only oil-contaminated metal fines qualify. Clean metal offcut should always go to EAF recycling (score 90).
plastic_offcut,heat_energy,48.0,MEDIUM,Waste plastic used as refuse-derived fuel (RDF) in cement kiln co-processing,Non-recyclable mixed plastic converted to RDF pellets used in Hualien cement plant kilns,Taiwan Cement RDF Co-processing Programme (MOENV 2021),RDF co-processing saves ~10% coal in kiln. Restricted to non-PVC plastic under Taiwan regulations.
chemical_solvent,heat_energy,5.0,INCOMPATIBLE,Solvent incineration with energy recovery — technically possible but low net value and high risk,Rare — only for heavily contaminated unsalvageable solvents; dedicated hazmat incinerator with waste heat boiler,MOENV Hazardous Waste Incineration Regulations,Hazardous process. Requires licensed hazmat incinerator. Score reflects high risk and minimal symbiosis value.
chemical_solvent,organic_sludge,15.0,INCOMPATIBLE,Contamination and reaction risk — solvent residues inhibit biological treatment of sludge,No documented Taiwan case — combination flagged as incompatible in MOENV waste mixing guidelines,Taiwan MOENV Industrial Waste Mixing Prohibition Table (2019),Solvent contamination of organic sludge prevents composting and anaerobic digestion. Regulatory restriction applies.
metal_offcut,water,10.0,INCOMPATIBLE,Corrosion and heavy-metal leaching risk if metal contacts untreated water,No Taiwan case documented — metal-water direct contact creates heavy metal contamination in water stream,Taiwan EPA Heavy Metal Effluent Standard + IPCC Industrial Ecology,Metal offcut must be kept dry; exposure to water causes oxidation and potential heavy metal (Pb/Cd) leaching.
heat_energy,chemical_solvent,5.0,INCOMPATIBLE,Fire and explosion hazard — direct heat application to flammable solvents,Prohibited under Taiwan Occupational Safety and Health Act — flash point hazard for common industrial solvents,Taiwan OSH Act Article 12 + MOENV Hazardous Waste Regulations,All common industrial solvents (acetone/MEK/toluene) have flash points <60°C. Direct heat exchange prohibited.
organic_sludge,metal_offcut,20.0,INCOMPATIBLE,Biological contamination of metal surface — microbes in sludge cause accelerated corrosion (MIC),No Taiwan case — combination flagged by Taiwan Metal Industries R&D Centre as MIC risk,Taiwan Metal Industries R&D Centre Corrosion Advisory 2020,Microbially-induced corrosion (MIC) from sulphate-reducing bacteria in sludge damages metal alloy surfaces.
plastic_offcut,water,25.0,INCOMPATIBLE,Plasticiser and additive leaching risk — plastic contact with water streams causes contamination,Taiwan EPA flagged plasticiser (DEHP) leaching from PVC offcuts into water — regulated under Toxic Chemical Substances Control Act,Taiwan EPA Toxic Chemical Substances Control Act + ECHA REACH,PVC and additive-loaded plastics must not contact water streams intended for reuse. DEHP is listed as SVHC in Taiwan.
chemical_solvent,food_processing,8.0,INCOMPATIBLE,Food safety contamination — any solvent residue in food-contact process water is prohibited,Absolute prohibition under Taiwan Food Safety Management Act — no solvent may enter food processing water streams,Taiwan Food Safety Management Act (2014 amended 2022) + FDA Standards,Zero tolerance for solvent contamination in food-contact materials. Regulatory enforcement is strict in Taiwan.
